year,round,circuitId,date,rainy,Turns,Length,driverId,constructorId,grid,Driver Top 3 Finish Percentage (Last Year),Constructor Top 3 Finish Percentage (Last Year),Driver Top 3 Finish Percentage (This Year till last race),Constructor Top 3 Finish Percentage (This Year till last race),Driver Avg position (Last Year),Constructor Avg position (Last Year),Driver Average Position (This Year till last race),Constructor Average Position (This Year till last race),driver_age,nationality_encoded,wins_cons,points_cons_champ,wins,points_driver_champ,laps,statusId,Weighted_Top_3_Probability,Weighted_Top_3_Prob_Length,position_previous_race,nro_cond_escuderia,raceId,prom_points_10,Top 3 Finish,points
2000,1,1,3/12/2000,0,14,5.278,2,20,15,0,0,0,0,0,0,0,0,23,15,0,0,0,0,56,12,0.087719298,0.090909091,8,2,158,9.4,0,0
2000,1,1,3/12/2000,0,14,5.278,14,1,2,0,0,0,0,0,0,0,0,29,6,0,0,0,0,11,5,0.208333333,0.222222222,20,2,158,47.6,0,0
2000,1,1,3/12/2000,0,14,5.278,15,17,6,0,0,0,0,0,0,0,0,26,20,0,0,0,0,35,5,0.048387097,0.083333333,20,2,158,8.5,0,0
2000,1,1,3/12/2000,0,14,5.278,18,3,21,0,0,0,0,0,0,0,0,20,6,0,4,0,0,46,5,0.160493827,0.235294118,20,2,158,1.2,0,0
2000,1,1,3/12/2000,0,14,5.278,21,22,9,0,0,0,0,0,0,0,0,27,20,0,2,0,2,58,1,0.076923077,0.1,11,1,158,4.5,0,2
2000,1,1,3/12/2000,0,14,5.278,22,6,4,0,0,0,0,0,0,0,0,28,5,1,16,0,6,58,1,0.322580645,0.416666667,3,2,158,39.4,1,6
2000,1,1,3/12/2000,0,14,5.278,23,3,11,0,0,0,0,0,0,0,0,25,15,0,4,0,4,58,1,0.146341463,0.25,4,1,158,36.5,1,4
2000,1,1,3/12/2000,0,14,5.278,25,22,14,0,0,0,0,0,0,0,0,26,3,0,2,0,0,58,1,0.090909091,0,17,2,158,10.5,0,0
2000,1,1,3/12/2000,0,14,5.278,30,6,3,0,0,0,0,0,0,0,0,31,15,1,16,1,10,58,1,0.568627451,0.4,1,1,158,86.5,1,10
2000,1,1,3/12/2000,0,14,5.278,35,16,8,0,0,0,0,0,0,0,0,29,7,0,4,0,3,58,1,0.033333333,0,7,1,158,9.3,0,3
2000,1,1,3/12/2000,0,14,5.278,37,21,12,0,0,0,0,0,0,0,0,29,29,0,0,0,0,6,22,0.038461538,0,20,1,158,1.5,0,0
2000,1,1,3/12/2000,0,14,5.278,41,16,16,0,0,0,0,0,0,0,0,24,5,0,4,0,1,58,1,0,0,19,2,158,0.111111111,0,1
2000,1,1,3/12/2000,0,14,5.278,48,18,18,0,0,0,0,0,0,0,0,26,29,0,0,0,0,57,11,0,0,17,1,158,1,0,0
2000,1,1,3/12/2000,0,14,5.278,49,17,5,0,0,0,0,0,0,0,0,33,15,0,0,0,0,39,9,0.111111111,0,20,1,158,5.4,0,0
2000,1,1,3/12/2000,0,14,5.278,50,21,13,0,0,0,0,0,0,0,0,28,12,0,0,0,0,16,22,0,0,20,2,158,0.9,0,0
2000,1,1,3/12/2000,0,14,5.278,55,20,17,0,0,0,0,0,0,0,0,36,14,0,0,0,0,27,9,0,0,20,1,158,3.7,0,0
2000,1,1,3/12/2000,0,14,5.278,56,19,7,0,0,0,0,0,0,0,0,35,6,0,0,0,0,6,20,0,0,20,2,158,4,0,0
2000,1,1,3/12/2000,0,14,5.278,57,1,1,0,0,0,0,0,0,0,0,32,13,0,0,0,0,18,5,0.4,0,20,1,158,19.6,0,0
2000,1,1,3/12/2000,0,14,5.278,60,18,22,0,0,0,0,0,0,0,0,25,1,0,0,0,0,40,6,0,0,20,2,158,0,0,0
2000,1,1,3/12/2000,0,14,5.278,63,15,10,0,0,0,0,0,0,0,0,34,13,0,0,0,0,58,2,0,0,20,1,158,1.8,0,0
2000,1,1,3/12/2000,0,14,5.278,64,15,19,0,0,0,0,0,0,0,0,30,5,0,0,0,0,41,7,0,0,20,2,158,0,0,0
2000,1,1,3/12/2000,0,14,5.278,65,19,20,0,0,0,0,0,0,0,0,36,6,0,0,0,0,1,8,0,0,20,1,158,0,0,0
2000,2,18,3/26/2000,0,15,4.309,2,20,19,0,0,0,0,0,0,9,12.5,23,15,0,0,0,0,9,5,0.138888889,0.1,9,2,159,8.6,0,0
